clean_text,sentimen
allah subhanahu wa taala firman zhoharolfasaadu filbarri walbahri bimaa kasabat aidinnaasi liyuziiqohum badhollazii amiluu laallahum yarjiuun tampak rusa darat di laut sebab buat tangan tanda tangan bijak manusia allah hendak rasa bagi akibat buat agar mereka kembali jalan benar qs arrum ayat,negative
allah reda hujan henti banjir tiap hari nangisin vt orang tiktok ampun ya allah kami banyak laku salah,negative
habis,negative
husein mana husein,negative
medan sekitar kota orang iman jujurhmmmm,negative
innalillahi wainnailayhi rojiun moga ikan sabar atas musibah jadi saudara di sumatera utara aceh sekitar,positive
wkwk,negative
semangat kalian tuhan serta kalian badai pasti lalu ulang kuat teguh hati jangan takut jangan gemetar mereka tuhan allah dia jalan serta engkau tidak biar engkau tidak tinggal engkau,positive
donutuwu,neutral
ada tanggung jawab rusa hutan,negative
innalilahi wainnailaihi rojiun allah,positive
zombi,negative
semua gara gara boby,negative
kabupaten yaallah lindung,negative
allah aku bayanginyg punya bayi balita tidak lari allah sesak banget,negative
banjir selut,negative
tv telat ngeliput karena kondisi akses susah buat kesana kita netizen nyebarin info kalah sama masalah tumbler tuku,negative
kemarin pusat sudah ngirimin bantu kan moga cepat lalu tragedi,neutral
hata tahtanywa umur milik gusti awloh kembli lah gusti awloh,neutral
gubernur malah ngemil,neutral
perintah lsm manusia mana para muka agama selalu ajar manusia tidur kausaodara butuh bantuanjgn tumbeler terus di urus,negative
saya heran tanah longsor cuma pohon tumbang,negative
allah lindung saudara sana,negative
lindung ya rabb,negative
bnjir kaya tsunami,negative
ayo keruk terus emas,negative
moga musih cepat lalu sodaraku moga kalian semua selamat ada korban jiwa amin amin amin,neutral
mangkanya jangan nebangi hutan jangan asal buka lahan rumah,negative
allah moga korban jiwa,negative
lekas baik semua stay safe,positive
buat gelintir orang akhir susah orang banyak mana kira kira lebih untung paling rugi jabat beri izin ilegal loging bisa jawab iya aparataparat dapat bagi ditanyak apakah suka senang bahagia atas derita orang banyak babat terus hutan selagi masih bisa jadi cuan oohhh indah sistem dinegariku,negative
ingat para ahli lingkung dampak ubah hutan ekosistem ancam manusia kenapa tetap di laku hanya demi uang,negative
lindung srmua sana allah,negative
jawa pray for sumatra,neutral
akibat hutan tebang liar lihat lah kalau tak sayang alam alam akan maraah sama manusia,negative
innalilahi wainnailaihi rojiun moga korban beri tabah kuat amin rabbal alamin,positive
bobby wajib tanggung jawab atas tebang pohon,neutral
willi brooks,neutral
irvi harmaini,neutral
laylalilik,negative
hutan lebih jaga,negative
stay safe everyone,negative
hutan babat jabat mingkem buta,negative
yallah,neutral
akibat menang pohon sesuai butuh rakus,negative
allah moga semua selamat allahaku bisa doa,positive
allah hu akhbar,negative
berita bencana sumatra tenggelam gara tumbler inara gys tlong lebih utamkn up kasus harus up,neutral
moga air cepat surut amin,positive
moga korban beri kesehatankekuatan tabah amin,positive
allah selamat kan sodara sodara,neutral
moga cepat pulih otw ksumut,neutral
lihat goggle eart memang hutan hutan sumatra banyak tebangin bilang benyana cuaca di tanya soal kayu hanyut mereka kayak pura pura dengar,negative
allah huakbarsmoga ada korban jiwa,neutral
moga lindung allah swt,positive
astagfirulloh,negative
bonus hutan mereka tebang semua pohon,negative
moga beri tabah sabar sehat selalu,positive
allah lindung ya allah,negative
allahu akbar allah ikan kuat,negative
innalillahi allah,positive
moga semua sehat allah,positive
assui lorraines,negative
info open donasi dong percaya,neutral
perintah tempat di pecat semuaa,negative
air mana apakah gunung bendung bagaimana,negative
yang peran lebih cepat sigap tni operasi perang undang sayang entah kok lambat,negative
mau bagaimana punya bukit hutan pohon tebang ke akar ini hasil ke serakah manusia alam benar murka doa moga sodara sana kasih lindung,negative
allah banyak banget,positive
tuhan lindung saudara saudara alami musibah,neutral
tuhan tlong lah,negative
harus paling tanggung jawabpengurus partay geng,negative
innalillahi wa inna ilaihi rajiun turut duka moga ada korban jiwa,neutral
moga selalu di lindung,positive
gubernur suruh nongol,neutral
alam mulai murka,negative
lahaulawalakuwatailabillah,negative
tuhan yesus selamat,neutral
sehat sehat saudara ku sana amin,positive
alam habis pohon tebangin efek serap air,neutral
gerindra paaakkk,negative
boby boby,negative
biar pupus,negative
prabowo diam,neutral
yaallah batu batu besar moga warga selamat,positive
masa alah mungkin dunia tua sodara kuh,negative
rill ingat langsung tuhan,neutral
pray for sumatra aceh,neutral
musibah ahir tahun,neutral
allah maha besar semua jadi atas hendak moga yang kena bencana beri kuat tabah ingat alam murka ulah rakus manusiaallah swt tak pernah rusak ciptaanya,positive
allah lindung saudarakami kena musibah moga bencana segera henti sehatselalu semua moga selalu lindung,positive
moga semua selamat sehat allah bayang bagaimana hilang segala sudah cari keringat perjuanganya allah sehat sodara sedng dampak bencana amin,positive
allah kuat,positive
bobby nasution mana,negative
allahhh kepada tempat minta tolong,negative
mungkin akibat ulah manusia sendiri telah rusak alam,negative
baik atau buruk telah buat semua kembali kitahanya doa bisa aku panjat saudara ranah mang selalu lindung allah swt amin,positive
caeeeerrrrr rayap besi hadir main,negative
alhamdulillah kabupaten karo aman,positive
masa kayak begini bencana nasional,negative
tanya rumput goyang,negative
innalilahi wainna ilaihi rajiun moga segera surut air,positive
allah saudara medan aceh padang sibolga daerah yang lain sudah bencana ya allah,negative
allah moga semua sana selamat semua amin,positive
ikut main sepakbola,neutral
usah takut deforestasi kelapa sawit pohon daun kan ucap orang jenderal,negative
inalilahiwainailihirojiunmudah mudah beri selamat,positive
allohberilah tolong mu,negative
tegas allah segala rusa jadi darat di laut akibat ulah buat manusia read qs arrum ayat,negative
gerindra,neutral
asean,negative
ira bukan indonrsia,neutral
aduh tuhan ewwhati hati sauadara,negative
moga tuhan lindung lek tetap sabar kau lek,positive
rankorang jangan tinggal solat kalau tinggal qada balik semua bakal jenazah tak tahu bila masa akan jemput allah sekurangkurangnya bila tiba waktu pergi ada sedang jaga solatinsyaallah tak sesal,negative
dari jawahama moga saudara aceh bagi sumatra beri selamat lindung allah swt di tabah hati amin,positive
alla,neutral
allah selamat saudara sedang musibah moga beri kuat tabah,positive
allah batu gede banget,negative
innalillah moga semua selamat,positive
allahhuakbar,negative
moga mudah selamat semua,positive
allah moga segera baik pray for sumatera,positive
cnnindonesia cuma sumut ya sumatra barat di anggap,neutral
batu besar banget tidak bayang kalau korban kena batu,negative
mafia pdip nebang hutan bikin rakyat tindas pdip dulu jaman pak soekarno memang sengsara rakyat,negative
karena hujan apa longsor kak,negative
gundul hutan itu usaha apa,negative
pak gibranrakabuming,negative
batang kayu sudah cukup jadi bukti,positive
ayo tetap bencana nasional,negative
moga selamat saudaradi sanad bencana cept reda amin mereka allah,neutral
allah kasihan kali allah,negative
iya jawaa salaah terlalu lambat tangan bencanaa sanaa pray from sumatraa kami suku jawa hamaa,negative
pak jokowi kami bapak baik,positive
abuso sa kalikasan karma tayo,neutral
allah tega lihat,negative
moga semua warga situ lindung allah maaf cuma bantu doa,neutral
lekas baik indonesia moga semua lindung tuhan saling dukung saling doa jangan salah siapa ini musibah ada tau kapan musibah datang ikhlas sabar moga negeri ini depan segala lebih baik perintah maupun sdmnya amin,positive
batu gede bawa air,neutral
allah moga semua baik sehat allah lindung semua,positive
moga allah lindung semua,positive
tuhan yesus saudara saudara di sumut,neutral
saudara tetap ada siaga waspada,neutral
allah dzolim bikin proyek ngerugiin warga,negative
moga semua selamat perintah cepat turun lokasiprabowo subianto purbaya yudhi sadewa gibran rakabuming gerindra,neutral
bencana banjir tanah longsor sadar tidak ulah tangan tangan serakah eksploitasi alam perhati efek amdal lingkung praktek praktek tambang bangun tidak perhati dampak lingkung nikmat hasil rakyat yang tanggung derita jaga lestari alam sekitar,negative
alam bohong jilat alam sedang sampai benar jadi hut,negative
kalang kayak mana bang mohon info,negative
tebang hutan meniknatinya usaha timpa bencana derita rakyat tidak tahu apa,negative
innalillahiwainnailaihirojiun moga cepat baik allah ampun yang mampu buat apaapa lindung merekahasbunallah wanimal wakil nimal maula wanimannassir allahumma sholli ala sayyidina muhammad wa ala ali sayyidina muhammad,positive
tetap kuat saudarasaudara di sumatera moga segera kabar baik,positive
turut duka atas bencana sumatera moga semua korban dapat tolong cepat,neutral
sejak kapan cuaca ekstrim tebang pohon jadi kayu gelondong,negative
dewabalistopdriversdewabalistopdriversprayforsumatera prayforsumbar prayforsumut prayforaceh,neutral
turut duka cita doa sama selamat bangsa negara moga saudara keluarga allah beri sabar tabah,neutral
nam sama i t i bi cu cu nn qun tahu sama b tt,negative
siapa bisa cegah bencana alam benar murka ulah manusia sendiri rakus mana jabat mana sih luhut sibahlil sih bobi,negative
moga bencana bisa cepat lalu,neutral
dulu presiden jokowi kalau bencana langsung turun bantu ecek kondisi masyarakat kini presiden probowo cuma lihat turun langsung lihat masyarakat yang kena bencana malah duduk manis istana,negative
o allah protect all flood victims with your mercygrant them safety strength and patience send them the right people sincere capable and trustworthy help ease their burden o allah replace their losses with something better and fill their days with peace and resilience amin aisarpernahbantumangsabanjir staystrong doauntukmangsabanjir,positive
sabar buat teman sana perintah mungkin kok angkat tangan kirim logistik koordinasi bencana mudah,neutral
allah ikan pertolongamu solo hadir,positive
rakyat jadi korban atas serakah babat hutan,negative
gubernur memang siapaserius tanya,neutral
astagfirulloh halazim,negative
allah lindung lah saudara di sumatra,negative
bukan cepat pergi sibukvidio,negative
asa kabupaten nias misah pulau,neutral
bantu hari pertama dikirimmbg sudah dialihin buat korban bencana masii banyak bilang perintah kemanayatuhannn,negative
allah kasihan,negative
bilek kalian mau aku kannih aku datang sekali tanah air moga jadi ingat keras kita semua penting jaga alam pray for sumatra,positive
kalau yang punya pinjam bank kondisi bencana ini kemudian bisa angsur di blacklist bi chackingnya,negative
luas juta hektar tanah luas provinsi jawatimur gabung jawatengah jadi luas hutan juta hektar hutan rata tanah kurun waktu tahun seperti akibat banyak tambang izin pejabatjadinya efek imbang hidup terganggutimbul bencana alam seperti jabat menteri hutan cocok buat kang dedi mulyadi pakai kdm peduli gunung sungai air alir pak prabowo orang dekat pakai prabowo baca komen mungkin seperti menteri kehutananmenhut raja juli anthony harus di resuffel di ganti pak dedi mulyadi mungkin alih fungsi bantu mbak korban bencana alam,negative
nama rejeki air yang limpah,positive
keri sekali,negative
moga selamat,neutral
panjang minggu lalu live air sungai kotor keruh serta kayu aku cuman komen alir air sangat deras n hujan tqk kunjung berhentimending hati kalau jembatan n tanah di pijak buat live gerus n longsor,negative
savesumatranelephants saveindonesianwildlife saveindonesianforests saveplgsebanga savetessonilo saveplgseblat saveorangutanindonesiagerindra gibran rakabuming,neutral
maaf asal air lumpur gunung bagaimana kok luas banget banjir,negative
innalilahi moga ada korban jiwa,negative
fray for sumatra,neutral
sudahii allah musibahh kasihannn,negative
tebangin abang jadi sawit,negative
innalillahi wainna illaihirrojiun,positive
raja firaun tepukktepukk sajaaa mantu hasil bikinn bencanaa,negative
tanah lihat,neutral
bobo mereka bobi,negative
bencana sumatera ingat ingat keras buat semua kalau masih serakah takut tuhan tenggelam negara iniini guna kaya sda indonesia baik munkin sejahtera sama,positive
tampak rusa darat di laut sebab buat tangan manusia allah hendak rasa bagai akibat buat agar mereka kembali jalan benar qs arrum ayat,negative
sehat saudara save pray for,neutral
cepat pulih hutan hutan ku tidak gundul,negative
allah moga semua selamat amin,positive
ini viral di doa sama saudara sad tubbler botol viral sampai jilid bukti konoha suka banget yang penting,positive
marah alam di rusak sangat keri,negative
allahhuakhbar,negative
akibat sering bilang jawa hama mungkin tegur allah biar sadar hidup saling hormat satu sama,positive
info atas nama lamria aritonang mak berto suami marga sitompul,neutral
helikopter mana helikopter,negative
masya allah,neutral
tuhan lindung semua astungkara swahaaa,positive
jangan komntar sembarang bro bencana inj rata seluruh negara bahkan seluruh negarasebaiknya saling mnjaga kkmen doa diri doa dampak bncana,positive
stay safe semua saudara di sana,negative
hanya doa moga semua bncana cepat berakhirkasianya allah lindung selmtkn,positive
alam murka lihat tingkah manusia ludah alquran,negative
allah bu pak,negative
mak berto songon kabarmuna anggi,neutral
sok sad,negative
masjid agung sibolga,neutral
alhamdzulillah gusti isik eling kowe kabeh hhh,negative
anjir kabupaten kira hutan dibadat berapa ratus hektar,neutral
allahsemoga semua saudara sana selalu lindung allah,positive
guyssss aku orang sumatera utara tepat medan banjir genteng rumah kanalkanal sungai jeboldoain terus guys tempat ungsi ada bantu makan datang anakanak ibu hamil tahan lapar akses jalan putus sulit jangkau,positive
akibat serakah jabat,negative
sumuttt nih lekkk berani klean sama sumut,negative
mungkin gunung sumatera utara banyak tenangin banjir luas ada yang redam air kalau hutan rimba air langsung lari sungai,negative
baik stop tebang hutan tambang liar,negative
innalilahi wa innailaihi rojiun moga selamat,positive
semenjak suami tinggal tahun aku hidup status janda urus anak masalah jodoh biar allah swt atur sabar tunggu,negative
ku ingat mahasiswa aniyaya di mesjid agung sibolga,neutral
coba sih buat atur departemen kehutananjangan tebang pohon terusbiar penghijauanjadi lari bawah air,negative
akibat gelintir orang sahabat alam akibat bnya alam ngamuk orang tidak tau apa ikut jadi korban unk sodaraku kena bencana sabar doa baik kalian,negative
kenapa jadi manusia jangan rakus,negative
raya rata salah perintah memang tidak beres,negative
menantu mulono,neutral
moga akhir bencana amin rabbal alamin,positive
sibuk urus saudara di palestina,negative
no sea amin,neutral
i dont want complain god pleasedear lord jesus protect them and help them come yougod can only protect you and save you thishes trying call people come him and cry him,negative
lama uu ampas aset koruptor aktif arti koruptor aktif bencana alam kuntit,neutral
chronicles if their people humble themselves and pray and seek my face and turn from their wicked ways then i will hear from heaven and forgive their sin and will heal their land,positive
moga badai segera lalu,negative
akibat indonesia kutuk israel jalan satu satu sadar tobat,negative
sunguh meyayat hatiallah tunjuk kuasa,negative
sejak hutan mulai dibabatini hasil,negative
coba tanya sama mas anis soal kan pegang sumatra pegang kunci sorga imam majdi,neutral
pinjem gubernur kdm buat tapanuli,neutral
allah lindung hamba allah moga cepat surut tidak banyak korban jiwa allah,positive
allah moga yang kena musibahdi beri kesehtn kuat,positive
bobby nasution mana tuh tambang ada peran,neutral
bayak ikan mancing mantap,positive
turut dukacita musibah sedang alami moga beri lapang hati moga bantu sedang tuju lokasi beri lancar keluarga pisah lekas temu amin,positive
jadi ajar kalau pilih jangan goda citra,negative
moga cepat lalu,negative
god bless everyone amin,positive
moga perintah tempat cepat tanggapmemberi bantu,positive
tampak rusa darat di laut sebab buat tangan manusia allah hendak rasa bagi akibat buat agar mereka kembali jalan benar qs arrum ayat tangan pegang bijak beri tanda tangan tuju gundul hutan,negative
sehat selamat saudara sana,neutral
apa gara kutuk israel,negative
rana rakus manusia tamak,negative
jangan bilang azab allah coba pikir pohon besar tahan air hutan jadi bangun hingga tempat hewan gajah harimau tidaka ada lagi bangun peduli renase jalan air,negative
moga cepat baik ada kalian segera baik,positive
astaghfirullah moga jadi bencana susul dan dampak beri sabar,negative
tuhan mereka,negative
prayers for indonesia,neutral
moga selalu lindung selamat semua,positive
moga segera baik indonesia ku,positive
yaampunnn,negative
allah moga bencana cepat akhir amin,negative
babat hutan warlok salah tetap jawa,negative
guys ajar jadi sekarang plis mulai sekarang harus benar lingkung iya musibah tau kita harus selalu salah perintah,negative
lekaspulihsumatradansekitarnya prayforsumatra prayforaceh prayforsumut prayforsumbar,neutral
lapor damkar jangan lapor tuh bisaya cuma catat,neutral
sumatra cuma anak tiri,negative
serakah gelintir manusia buat alam luka hutan tebang tanah longsor akibat banjir cukup besar masyarakat tidak pernah ikut rusak justru tanggung dampak sekarang perintah baru mau peduli belum kemanaa hutan babat habis,negative
prayforaceh prayfortapanuli prayforpadang prayforsibolga,neutral
sabar wahai saudara bantu datang ingat badai lalu,neutral
omg really looks like ai,positive
pray for indonesia,neutral
my lord help them,negative
allah lindung semuaamiiiiin,positive
gad blessings,negative
allah akan turun buah musibah daerah sebut semua orang iman tiap wilayahdaerah kenpa banyak bencana bilang lebih banyak orang maksiat tebang pohon ilegal banding orang ibadah diturunkanya tegur musibah nauzubillah moga lalau istikamah jalan allah amin salam kalimantan selatan turut dukacita,negative
gara tambang emas gunung tuh,negative
moga cepat baik negeri ku,positive
teeebaaaamg teeeerooooos,positive
pemda perlu sidang,neutral
moga lekas baik amin amin amin yra,positive
bagai jawahama turut dukacita atas musibah tanah sumatera moga cepat baik,positive
bantu pusat keluar kan tenda sama makan,neutral
allah hu akbar sodara ku,negative
yaalahbantulahsaudarakamiyaallah,positive
moga bisa sama sama fokus buat selamat sodara sana,positive
kata hari pertama bantu datang kaya tenda prahur karet makan pakai moga ada bantu susul ya buat masih sekarang kena,positive
pusat sudah kirim bantu kayak tenda makan segala macam kan,neutral
padahal tugas ngejaga alam kekayaanya bukan perintah tapi warga tempat cuma begitu selalu salah perintah,negative
pray for vietnam pray for thailand pray for philippines pray for malaysia pray for indonesia pray for gaza pray for hong kong pray for taiwan iam from thailand pray mau god protect us from this disaster amin,neutral
belum bantu lihat kondisi geografis sulit buat evakuasi sih moga segera datang yhh bantu,neutral
sabar buat teman di sana perintah mulai gerak kok aku di sekolah sumbang buat teman teman kena bencana,negative
menang banget tau baik baik keluarga sana,positive
kalau malaysia pernah laku begini sebab tebang hutan system air hutan rusak,negative
akibat sering bahas agama suku saling hujat bukan gara anak yatim,negative
sidikalang bagaimana guys,negative
move,negative
bukan bencana alam serakah manusia rambah hutan,negative
kembali fungsi hutantangkap semua menebangjangan gara gara rakyat jadi korban,negative
turut prihatin moga beri selamat,neutral
pray for sumatra ku mana ada selalu hati prihatinlekas baik,positive
masyaallah subhanalllah allahuakbar,positive
harta kumpul ikut tenggelam cry,neutral
tau daerah sumatra sering persekusi orang ibadah mungkin timbal balik,negative
moga semua bencana lekas akhir,neutral
dios mio este es el fin esto va a ser el apocalypse,neutral
air mata alam ikut menagis,negative
berat buah juang moga kuat sht selalu saudara semua,positive
sekarang fokus bantu kalaupun minimal doa baik buat,neutral
what happened whos chasing them,negative
kayak begini korupsi bukan kan salah bijak perintah rugi aset negara,negative
akibat serakah manusia hutan babat habis,negative
bantu logistik perintah lagi usahain bantu lain kayak obat sppg ikut turun tangan loh pokok buat sodara sana stay save,neutral
amin,negative
bukan bencana nasional,neutral
pray for sumatera kampung halaman padang pariaman bagaimana kondisi,neutral
allah moga beri kuat sabar lagi beri coba saudara ku,positive
allahinj open donasi langsung daerah gasiiiharus daerah tolongg utama orangorang yang pertama,neutral
guna tiktok ada ini cnn,negative
moga semua kuat,positive
hati narasi pecah belah satu bangsa sekarang adalah waktu saling bantu gandeng tanganmengeratkan genggam satu langkah bantu saudara timpa bencana bukan waktu saling salah cari salah jatuh satu sama lain punya tenaga sila bantu tenaga milik lebih rejeki sila bantu dana bagi belum milik dua bantu doa bila belum bantu apajanganlah keruh ada bijak komentar atas musibah yang timpa saudara di sana moga saudara sana senantiasa lindung tuhan beri keselamatankesehatan tabah moga bencana lekas berlalusegera tanggulang situasi segera dipulihkanamin,positive
hotman paris official gerindra menteri sekretariat negara metro tv kais adil kpkri kapolri indonesia menteri agama ri gibran rakabuming,neutral
allah batu gede gaban atas gunung moga semua lindung bencana,negative
kabar baik sekarang bantu dua pusat gerak semga kali distribusi lebih mudah utama akses dengar kata mulai surut,positive
el mundo ha cambiado dios tenga misericordia,negative
kemarin perintah kirim bantu bahkan pakai pesawat kan biar cepat,neutral
bukan soal jawa bukan gokusnya sekarang bagaimana pastiin bantu pusat kirim tenda perahu sama logistik kok,negative
allah lindung saudara semua mana pn ada amin,positive
telusur siapa usaha izin exploitasi hutan bisa ulang biar,neutral
rakyat bantu rakyat turut perihatin sama bencana sana moga masalah bantu lain segera datang,positive
dulu aku bilang jangan gundulin hutan jangan nambang sembarang akhir peristiwa terjadiramalan top cer josjis,negative
moga cepat respon,neutral
bukti jelas tunggu apa tangkap adil mulyono,negative
ayo dong pemimpinbabat hutan lagiayo masyarakat buang sampah sungai lagidan kalau gin kata takdir,negative
jujur status ku janda anak ini cari damping mau terima aku apa ada laki laki suku apa asal orang baik mau sayang sama anak ku saja ku cari mesti ganteng apa banyak harta asal mau kerja keras setia cukup,negative
ini ulah manusiaaaaa,negative
alam balas tangan jahat manusia bagaimana,negative
belum terimakasih buat semua pihak sudah bantu baik perintah atau semua rawan juang bantu alhamdulillah situasi angsur angsur mulai baik hari hari kemarin mungkin bisa wakil semua orang saya pribadi sangat sangat berterimakasih kalian semua atas bantu sudah beri,positive
bismillah sama sama ngelewatin semua sama tidak usah salah salah serang pihak tentu fokus buat selamat sodara sodara di sumatra,neutral
sama doa bantu mampu untuk pulih bencana sumatera,neutral
dari segenap warga jawa hama ucap turut duka cita moga kuat segera baik,positive
cambodia is with you,neutral
innalilahi wa innailaihi rojiun allah selamat saudara,positive
allah sedih lihat,negative
epek serakah manusia,negative
inna lillahi wa inna illaihi rojiun,positive
misericordia jehova dios seor jesucristo te pedimos que porfavor intercedas por mis projimos que se encuentra en una gran necesidad estan en peligro deh vida o muerte ullendo deh los riesgos buscando refugios salvacin no ahi no existe ninguno todo a su alrededor esta en emergencia destruccin por favor te pedimos nuestro seor jesucristo intercedas una vez mas has sido nuestro manto deh proteccin cuidado te rogamos seor,positive
eh tadi aku lihat berita kalau beberapa daerah medan mulai surut,negative
moga cepat baik allahsemoga kalian saudara beri keslmatan,positive
tuhan btw turut duka moga lekas baik perintah lagi usahain buat bantu lain,neutral
tidak rih namanama ungsi korban aku cari kawan ku kerja puskesmas kolang nmny maureen refka pasaribu,neutral
karena hutan tebangin sih,negative
moga cepat surut air,neutral
innalilahhitojiunnn,negative
kuat kan ya allah,negative
yaallah moga cepat baik,positive
astaghfirullahwa atubu ilaihi,negative
prabowo mana,neutral
wadoh tambah puruk lah ekonomi negara,negative
allahuakbar ampun segala dosa aaminn yra,negative
serius kabupaten,neutral
gara gara perintah mah di hutan jadi gundul longsor,negative
ohya tuhan,negative
moga allah lindung saudara sibolga,negative
ingat tinggal dipukulin istirahat masjid,negative
sabar sodaraku sedang dapat coba,positive
ada anak bayi bagaimana kabar,negative
moga lekas surut air moga bantu segera datang,positive
perintah sibuk urus palestin,negative
boby mana boby,negative
daerah rusak tambang uang bawa jawa,neutral
bismillah moga beri kuat mudah sabar jalan terang,positive
minta bantu boby,neutral
batu gunung sbsr hanyut,neutral
akibat bala liar tahu rezim mul,negative
bobby mana bobby mana sibuk cuci tangan,negative
boby manaaaa,negative
pakpak bharat kena,negative
my god,neutral
alam hidup manusia manusia bisa hidup alam kau rusak alamalam bisa rusak kau,negative
turut duka pray for sibolga begitu alam tidak imbang,neutral
sumatera utara gubernur siapa,neutral
allah bagaimana lansia bayi anak,negative
aceh semua kabupaten banjir,negative
lekk besi nih hempas banjirrr,negative
akibat tamak gelintir mns buat bencana besar,negative
sibolga ada pemuda bunuh istirahat mesjid kan,negative
kasihan,negative
sama masyarakatnyapemerintahnyaharus tobat,negative
kalau bisa bantu paling jangan hujat saling doa moga sgra atas,positive
karinaaa,negative
innalilahiwainailaihirojiun,negative
sumatra barat parah min,negative
allah amin,positive
turut duka buat warga sumatra moga cepat bantu beri,neutral
mahasiswa aniaya hingga tinggal masjid gereja rusak ibadah bubar hutan habis buka tambang akibat jadi sadar tobat,negative
innalillahi sodara sodaraq ada tinggal tebing tinggi,negative
allah moga sepupu ada kabar berita,neutral
hukum indonesia lebih tegas jangan pandang bulu mohon maaf jikah kata yang salah,negative
angkat tangan serah allah swt,neutral
jadi disumatra paling parah sih,negative
alam bicara,negative
alam marah sama luhut,negative
allah sedih sekali moga banyak selamat sumatra,negative
kapan yang banjir,negative
alam rusak,negative
mana aparatur negara mana anggota dpr mana tni mana damkar mana polisikenapa ada langsung kelihatanapsksh kalian bisa tidur lena lihat vidio,neutral
allah lindung lah dari segala bencana,negative
astafirualloh alazim,negative
allah lindung sawdarah ku tertimpah musibah,negative
ada bencana jadi ingat lagu ebiet adek,neutral
makin yakin kalau ai soal susah beda mana asli mana ai,negative
allah rabbampuni dosa,negative
astaghfirullah merinding lihat moga allah beri tolong segera amin,negative
gubernur bagaimana ada koordinasi tni bagaimana evakuasi,neutral
moga allah tolong kalian inshallah penuh rumah tuhan pray for nusantara,positive
kayak indonesia tiap akhir tahun saja musibah besar kayak begini allah lindung orang kena banjir selamatin dengan cara allah amin,negative
mantap indonesia memang,positive
bobbi mana bobbi kasihan rakyat,negative
kondisi sirandorung bagaimana yang tau balas komen,negative
allah moga saudarakita ada sana lindung beri selamat,positive
gundulin hutan siapa kena siapa coba mana perintah tempat sudah nginep hotel,negative
moga cepat datang bantu tempat tinggal oleh perintah,positive
allah tidur juga lupa atas doa orang tua korban mati masjid sibolga,negative
rabb,neutral
di sulawesi malah kering,negative
moga kalian kuat jalan musibah,positive
nov sibolangit nov sibolga,neutral
sabar uji kakak,negative
allahuakbar kesi kalianmoga allah swt gantikn rezeki lebih baik,positive
ingat sang cipta pimpin mau kuasa alam tangki pertamina ingat wahai manusia alam cipta sang cipta bukan kalian asas ada yang lebih kuasa kalian ini adalah tegur kecil sang cipta,negative
ampun batu gajah seret arustampa halang benar tambah rusak,negative
info buat papa quparulian purba,neutral
berapa rugi materil imateril akibat bncana di akibat ulah tebang hutan sih laku ganti rugi masyarakat bukan cabut izin tpl perintah tanggung jawab,negative
moga cepat baik indonesia,positive
moga cepat pulih semua,positive
henti bala hutan,negative
gibran rakabuming gerindra,neutral
moga bencana di sudah larut larutsemoga beri sabar sehat semua,positive
perintah punya mata sih lihat musibah masih mau utama palestina,negative
wakto seperti inihanya tang diri sendiri sahajayg batosemoga beri mud kandi atas urus kalianaammmii,negative
ulah beberapa manusia utama punya usaha hampir seluruh warga sumatera utara kena imbas,neutral
babat hutan yang tanggung jawab,negative
tegur tuhan alam sedang sembuh luka,negative
moga saudara sumatra utara beri lindung selamat,neutral
moga lekas pulih allah,neutral
pak bobi,negative
mungkin hujan potong kayu gelondong,neutral
perintah lamban evaluasi masyarakat kalau dijawa mungkin langsung presiden turun tangan sumatra anak tiri jawanesia,negative
innalilahi wa inna ilaihi rajiun,positive
tak yang nak palak air banjir pak mungkin air banjir boleh bayar duit,negative
alam marah,negative
astaghfirullah,negative
aceh bantu,negative
tabah kalian ibuk kakak abng adek adek,negative
kayukayu balok jadi saksi betapa kejam alam rusak,negative
netizen hari kalian ngeluh apa,negative
innalillahiwainnailaihirojiun moga allah ganti lebih baik saudara ii ku,positive
bnpb mana mana,negative
innalillahiwainnailaihirojiun,positive
adil bobby,negative
moga lekas baik,positive
allah ampun dosa ikan tolong sodara,negative
allahhuakhbar moga bsik saudara sana,positive
padahal bentar mau natal rip,negative
bisa doa selamat kalian saudara,neutral
mungkin tegur kata oknum bunbun musafir masjid,negative
innalilahisemoga allah senantiasa lindung sodaraku semua sana,positive
data korban lihat ya,neutral
kapan grup medan periksa kpk,neutral
masyallahtabahkan hati kalian semuanyasehat,positive
masuk daerah pimpin sang mantu,neutral
allahuakbar allah,negative
moga selamat smuakasihan,positive
belah mau dihabisin taman nasionalnyamungkin ingin bagi bencana kayak begini,negative
stay safe sibolga tapteng,neutral
allah lindunginlah saudara semua sana,negative
gubernur nya apa sih,negative
kita marah,negative
tutup tpl satu beberapa faktor buat sumut landa bencana,neutral
kapan jadi kodong,neutral
jadi semua ajar jangan mau sogok pilkada pilpres kita yang derita tanggung semua,negative
hoi pemeeintah jabat kalisn tidak menempakkan diri lihat langsung eakyat mnghadipi musibah kangen kalisn tidur turun tur,negative
perintah sibuk usir masarakat berdomosili tnah ilegal,negative
subhanallah moga cepat lalu,positive
tegur tuhan,negative
bingung banyak kayu hanyut,negative
makan duit hasil keruk sda sendiri gilir bencana alam bagi masyarakat lekas baik sumatra ku,neutral
aku takut banget kalau doa hewan di sakit oknum tanggung jawab yang rusak rumah hewan karena serakah alam adil,negative
allah lindung lah saudara yang sana,negative
allahmdahan ada korban jiwa,negative
